matchid,pred_points_player,actual_points_player,pred_selection_cnt,accuracy,rewards_earned
733971,613.5,721.5,11.0,0.1496881496881497,75.0
733973,271.0,647.0,11.0,0.5811437403400309,-50.0
733975,197.0,584.0,11.0,0.6626712328767124,-50.0
733977,346.5,763.5,11.0,0.5461689587426326,-50.0
733979,512.5,807.5,11.0,0.3653250773993808,-50.0
733981,445.0,653.5,11.0,0.3190512624330528,-50.0
733983,367.0,646.5,11.0,0.4323279195668987,-50.0
733985,385.0,608.0,11.0,0.3667763157894737,-50.0
733987,648.0,783.5,11.0,0.17294192724952137,50.0
733989,532.0,744.0,11.0,0.2849462365591398,-50.0
733991,482.0,757.0,11.0,0.3632760898282695,-50.0
733993,339.0,468.0,11.0,0.27564102564102566,-50.0
733995,476.0,643.0,11.0,0.25972006220839816,-50.0
733997,189.0,651.0,11.0,0.7096774193548387,-50.0
733999,252.5,959.5,11.0,0.7368421052631579,-50.0
734001,485.0,643.5,11.0,0.2463092463092463,0.0
734003,451.5,685.5,11.0,0.3413566739606127,-50.0
734005,504.0,647.0,11.0,0.22102009273570325,0.0
734007,245.0,724.5,11.0,0.6618357487922706,-50.0
734009,560.0,634.0,11.0,0.1167192429022082,75.0
734011,528.0,723.0,11.0,0.2697095435684647,-50.0
734013,308.0,655.0,11.0,0.5297709923664122,-50.0
734015,303.0,552.0,11.0,0.45108695652173914,-50.0
734017,395.5,711.5,11.0,0.44413211524947294,-50.0
734019,410.0,811.5,11.0,0.49476278496611215,-50.0
734021,397.0,638.0,11.0,0.3777429467084639,-50.0
734023,478.5,592.5,11.0,0.19240506329113924,50.0
734025,197.0,684.0,11.0,0.7119883040935673,-50.0
734027,581.5,729.5,11.0,0.20287868403015763,0.0
734029,597.0,723.0,11.0,0.17427385892116182,50.0
734031,427.0,662.5,11.0,0.35547169811320756,-50.0
734033,323.5,606.5,11.0,0.4666117065127782,-50.0
734035,454.5,665.5,11.0,0.3170548459804658,-50.0
734037,508.0,723.5,11.0,0.2978576364892882,-50.0
734039,570.0,639.0,11.0,0.107981220657277,75.0
734041,311.0,749.0,11.0,0.5847797062750334,-50.0
