matchid,playername,playing_role,playing_team,playercost,total_points,pred_points_catboost,pred_points,pred_selection_rank,pred_selection_true,actual_selection_rank,actual_selection_true
598050,Iqbal Abdulla,Bowler,Kolkata Knight Riders,10,32.0,25.27763866990077,25.27763866990077,,,7.0,1.0
598050,JH Kallis,AllRounder,Kolkata Knight Riders,10,28.0,42.38106837148939,84.76213674297878,0.0,1.0,10.0,1.0
598050,KA Pollard,AllRounder,Mumbai Indians,10,5.0,32.262168379991415,32.262168379991415,7.0,1.0,,
598050,KD Karthik,Batsmen,Mumbai Indians,10,43.0,33.300885748550854,33.300885748550854,5.0,1.0,6.0,1.0
598050,L Balaji,Bowler,Kolkata Knight Riders,10,12.0,26.45979206995189,26.45979206995189,,,,
598050,MG Johnson,Bowler,Mumbai Indians,10,109.5,30.848740710651303,30.848740710651303,9.0,1.0,1.0,1.0
598050,MS Bisla,Batsmen,Kolkata Knight Riders,10,21.0,35.00099679361783,35.00099679361783,2.0,1.0,,
598050,PP Ojha,Bowler,Mumbai Indians,10,52.0,30.0300994150384,30.0300994150384,10.0,1.0,4.0,1.0
598050,R Bhatia,Bowler,Kolkata Knight Riders,10,23.0,27.044675639841262,27.044675639841262,,,,
598050,R McLaren,AllRounder,Kolkata Knight Riders,10,45.0,33.314656337907216,33.314656337907216,4.0,1.0,5.0,1.0
598050,RG Sharma,Batsmen,Mumbai Indians,10,19.0,34.92868439356466,34.92868439356466,3.0,1.0,,
598050,SL Malinga,Bowler,Mumbai Indians,10,29.0,26.94043436197042,26.94043436197042,,,8.0,1.0
598050,SP Narine,Bowler,Kolkata Knight Riders,10,5.0,28.068751051175393,28.068751051175393,,,,
598050,SR Tendulkar,Batsmen,Mumbai Indians,10,57.0,32.12538595230241,32.12538595230241,,,3.0,1.0
598050,YK Pathan,AllRounder,Kolkata Knight Riders,10,16.0,30.73182517125325,30.73182517125325,,,,
598051,A Mishra,Bowler,Sunrisers Hyderabad,10,4.0,31.352056562067805,31.352056562067805,7.0,1.0,,
